Item_id,Name,Details,Value
P01,"Aloe Vera Gel (ရှားစောင်းလက်ပတ်အနှစ်/ရှားဝါ) ","ရှားစောင်းလက်ပတ်အရည်ရှိစွမ်းအားများကြောင့် ဆီးချိုရောဂါ, သွေးတိုးရောဂါ, အစာအိမ်ရောင်ရမ်းခြင်းရောဂါ, ဝမ်းချုပ်တတ်သူများအတွက်ဝမ်းမှန်စေခြင်း, အူလမ်းကြောင်းပြသနာများကို ပြန်လည်ပြုပြင်ပေးခြင်း, အမျိုးသမီးရောဂါ, ကျောက်ကပ်ရောဂါ, အသည်းကိုသန့်ရှင်းစေပြီး အဆပ်အတောက်များကို ဖယ်ရှားပေးပါသည်. Bပိုး,Cပိုးကဲ့သို့ အသည်းရောင်ရောဂါများကိုလည်း မဆိုးဝါးစေရန်ကာကွယ်ပေးပါသည်. ","79000ks "
P02,"Forever B12 Plus (သွေးအားကောင်း) ","သက်သက်လွတ်စားသူများနှင့် ကိုယ်ဝန်ဆောင် မိခင်များအတွက် ဖောလစ်အက်ဆစ်ဓါတ်များ ဖြည့်စွမ်းပေးနိုင်သောကြောင့် အထူးသင့်လျော်ပါသည်. မိမိ ကိုယ်ဝန် ရင်သွေးလေးကျန်းမာဖွံ့ဖြိုးမှုအတွက် အထူးထိရောက်ပါသည်. ","48000ks "
P03,"Summer's eve Feminine Douche (သားအိမ်ဆေးတန်) ","မိန်းမကိုယ် အနံ့အသက်မတရားဆိုးခြင်း, ယားယံလွန်းခြင်း, မသန့်ရှင်းသော အချွဲအကျိများဆင်းခြင်းတို့အတွက်အသုံးပြုနိုင်ပါသည်. ","28000ks "
P04,"Forever Aloe Vera Gelly (အစုံလိမ်းဆေး) ","တစ်ဘူးဆောင်ထားရုံဖြင့် ဘာလာလာ အကုန်အသုံးပြုနိုင်၍ အဖုအပိမ့်, ယားနာ, မီးလောင်နာ, မျက်နှာ အဆီပြန်, ဝက်ခြံ, ထိခိုက်ရှနာ နှင့် လိပ်ခေါင်းရောဂါတို့အထိအသုံးပြုနိင်ပါသည်. ","45000ks "
P05,"Forever Garcinia Plus (အဆီကျဆေး) ","Gracina Cambogia အသီးနဲ့ Safflower ပန်းအဆီတို့ပါဝင်ပါသည်. Garcina အသီးရဲ့ သဘာဝဓါတ်အရ အစားစားချင်စိတ်ကို ဟန့်တားခြင်း, အဆီပိုများကိုလောင်ကျွမ်းစေခြင်း, ပန်းအဆီကလည်း သွေးလည်ပတ်မှု ကောင်းမွန်စေခြင်း, နှလုံးသွေးကြောကျဥ်းခြင်းတို့ကို သဘာဝအရကာကွယ်ပေးပါသည်. ","89000ks "
P06,"Forever Bee Propolis (ပျားသလက်) ","ချောင်းဆိုးခြင်း, လည်ချောင်းနာခြင်း, နှာရည်ယိုခြင်း, နေမထိ ထိုင်မသာဖြစ်ခြင်း, အဖျားဝင်ခြင်း, အဖျားမကျခြင်း, အနံ့မရခြင်း တို့ကိုပျောက်ကင်းစေပါသည်. ","110000ks "
P07,"Forever Bee Pollen (ပန်းဝတ်မှုံ) ","ပန်းဝတ်မှုံတွင် သဘာဝရင်းမြစ်မှရရှိသော ပရိုတင်းဓါတ်များ, အမိုင်နို အက်စစ်များ, ဗီတာမင်များနှင့် အဟာရဓါတ်များစွာပါဝင်သောကြောင့် ကိုယ်ခံအားမြှင့်တင်ခြင်း, အရွယ်တင်နုပျိုစေခြင်း, အစာချေစနစ်ကောင်းခြင်း, သက်လုံကောင်းခြင်း စသောရလဒ်များခံစားပိုင်ဆိုက်နိုင်မှာပါ. ","72000ks "
P08,"Forever Royal Jelly (ပျားဘုရင်) ","အမျိုးသမီးများ မီးယပ်သွေးဆုံးကိုင်ခြင်းမှ ကာကွယ်ပေးခြင်း, အသားအရေကိုလှပစေခြင်း, Collagenဓါတ်ကို မြှင့်တင်ပေးခြင်း, စိတ်ပင်ပန်းမှု ကင်းဝေးစေခြင်း သာမက အာရုံကြောစနစ်များသာမက ကိုယ်ခံအားစနစ်ကိုပါ မြှင့်တင်ပေးပါသည်. ",110000ks
P09,"Forever Aloe Berry (ရှားစောင်းဘယ်ရီ) ","သားအိမ်, ဆီးလမ်းကြောင်း, အသားရည် အတွက် ကော်လဂျင်ဓါတ်များ ပေးစွမ်းပေး၍ အူမကြီးနှင့် အူလမ်းကြောင်းကိုထိန်းသိမ်းပေးကာ မလိုအပ်သော အဆိပ်အတောက်များ ကိုဖယ်ရှားပေးပါသည်. အိပ်ရေးပျက်ခြင်း, သွေးဆုံးခြင်းကြောင့်ဖြစ်ပေါ်သောစိတ်မတည်ငြိမ်မှုများကိုကာကွယ်ထိန်းသိမ်းပေးနိုင်ပါသည် .ဗီတာမင်A ပါ၍ ဟိုမှုန်းများကို ညှိနိူင်းပေးပါသည်. ","79000ks "
P10,"Forever Lite Ultra (ဓါတ်စာမှုန့်) ","အဟာရဖြည့်စွက်စာ သည် အဆီချဆေးသောက်နေသော သူများအတွက် ကိုယ်ခံအားမယုတ်လျော့အောင် အသားရည်ကျစ်လစ်နေအောင် အဆီချစဥ် ရေဓါတ်မခန်းခြောက်အောင်နှင့် ဗီတာမင်များမကုန်အောင်ထိန်းသိမ်းပေးပါသည်. ",89000ks
P11,"Forever Calcium (ကယ်လ်ဆီယမ်) ","ခန္ဓာကိုယ်အတွက်လိုအပ်သော ကယ်လ်ဆီယမ် ဓါတ်ကိုဖြည့်တင်းပေးနိုင်ပါသည်. အရိုးအဆစ် သန်မာစေခြင်း, သွားခိုင်ခြင်း, နှလုံးကြွက်သား နှင့်အာရုံကြောများကောင်းမွန်စွာ အလုပ်လုပ်ဆောင်နိုင်ရန်, အသက်ကြီးသူများအတွက်, ကလေးငယ်များ, ကိုယ်ဝန်ဆောင်များအတွက်ပါအရေးပါသည်. ","78000ks "
P12,"Forever Arctic Sea (ငါးဆီ) ","ကိုလက်စ်တရော(Cholesterol) ဓါတ်ကိုလျော့ကျစေခြင်း, နုလုံးသွေးကြောနှင့် သွေးထဲရှိအဆီများကို ထိရောက်စွာရှင်းလင်းပေးခြင်း, မှတ်ဥာဏ်လျော့ချခြင်းကို ကာကွယ်ခြင်း, ကလေးငယ်များ ဥာဏ်စည်ဖွံ့ဖြိုးခြင်း, မျက်စိအားကောင်းစေခြင်း, အသည်းအဆီဖုံခြင်း, အညောင်းထိုင် အလုပ်လုပ်သူများ, ဇက်ကြောခဏခဏတက်သူများအတွက် သက်သာ ပျောက်ကင်းစေပါသည်. ဓမ္မတာလာစဥ် နာကျဥ်ကိုက်ခဲခြင်း, ရာသီမမှန်ခြင်းတို့ကို ပျောက်ကင်းစေပါသည်. ","95000ks "
P13,"LANCÔME (မျက်နှာဂျီးချွတ်) ","မျက်နှာ အတွက်ပိုင်းအလွှာအထိ တစ်ဆင့်ချင်းသန့်စင်ပေးကာ နုပျိုဝင်းပလာစေမှုအတွက်အသုံးပြုနိုင်ပါသည်. ","200000ksဝန်းကျင် "
P14,"Forever Aloe Peaches (မက်မွန်ရှားစောင်း) ","သဘာဝရှားစောင်းနှင့် မက်မွန်သီးအနှစ်တို့ဖြင့်ပေါင်းစပ်ထားသောကြောင့် ကိုယ်ခန္ဓာအသားအရည်လှပမှုအတွက် အထူးကောင်းမွန်စေပါသည်. ","79000ks "
P15,"Forever smoothing exfoliator [ဂျီးချွတ်] ","ဆဲလ်အသေ, မျက်နှာမွဲခြောက်ကြမ်းတမ်းခြင်း, အိုမင်းရင့်ရော်ခြင်းကဲ့သို့ခံစားရနေပါက ဤဆေးလိမ်းရုံဖြင့် သက်သာပျောက်ကင်းစေနိုင်ပြီး မျက်နှာကိုအတွင်းပိုင်းထိသန့်စင်စေကာ Glow Skin တစ်ခုရရှိနိုင်စေပါတယ်. ","50000ks "
P16,"Forever Aloe Avocado Soap (ရှားစောင်းထောပတ်ဆပ်ပြာ) ","မျက်နှာနှင့် ခန္ဓာကိုယ်အတွက်အဓိကအသုံးပြုနိုင်ပါသည်. ရှားစောင်းနှင့်ထောပတ်သီး ရောစပ်ထားသောကြောင့် မျက်နှာပေါ်ရှိ မှဲ့ခြောက်, တင်းတိတ်, ဝက်ခြံနှင့် အဆီပြန်ခြင်း, ခန္ဓာကိုယ်အနံ့အသက်ဆိုးခြင်း တို့ကင်းဝေးကာ ချောမွေ့သောအသားအရည်ကိုရရှိနိုင်ပါသည်. ",17000ks
P17,"Forever Aloe Freedom (လိမ္မော်, စပျစ်ရှားစောင်း/ရှားပြာ) ","အရိုးအဆစ်, အရွတ်, အာရုံကြောနှင့်သက်ဆိုင်သောရောဂါများ, လေးဘက်နာ, ဂေါက်(gout), အာရုံကြောကြောင့် ထုံကျင်ကိုက်ခဲခြင်း တို့ကိုပျောက်ကင်းစေ၍ အရိုးအဆစ်နှင့် သွားများကိုခိုင်ခံ့စေပါသည်. ","91000ks "
P18,"Forever Bee Honey (ပျားရည်) ","သဘာဝပျားရည်စစ်စစ်ဖြင့်ပြုလုပ်ထားသောကြောင့်ပျားရည်၏အကျိုးဓါတ်များဖြစ်သော ချောင်းဆိုးလည်ချောင်းနာ, ဒဏ်ရာအမာရွတ်များကိုပျောက်ကင်းစေခြင်း, ကောင်းမွန်စွာအိပ်စက်နိုင်ခြင်း, အစာအိမ်ရောဂါများကိုပျောက်ကင်းစေခြင်းတို့ကို ပြည့်ပြည့်ဝဝ ရရှိနိုင်ပါသည်. ","75000ks "
P19,"Summer's eve Moisturizing Jelly ","မိန်းမကိုယ်လိမ်းဆေး - Douche ဖြင့်ဆေးပြီးတာနဲ့ ဤဂျယ်လေးကိုလိမ်းပေးလိုက်ခြင်းဖြင့် ပိပိကိုသဘာဝအတိုင်း အစိုဓါတ်ထိန်းပေးပြီး အနံ့ဆိုးထွက်ခြင်း, ယားယံခြင်း, ကြမ်းတမ်းခြင်းတို့မှ ကင်းဝေးစေပါသည်. ","68000ks "
P20,"Summer's eve Cleansing Mist ","မိန်းမကိုယ် အနံ့အသက်ဆိုးဝါးတာကြောင့် အရေးပေါ် အဆင်မပြေဖြစ်နေပြီဆိုရင် ရေမလိုသန့်စင်ဆေးရေတစ်ဘူးဖြစ်တဲ့ Mist လေးနဲ့ ဖြန်းလိုက်ရုံဖြင့် အဆင်ပြေသွားစေမှာဖြစ်ပါတယ်. ",38000ks
P21,"Forever Aloe Sunscreen ","နေလောင်ခြင်းကြောင့် အသားများနီမြန်းခြင်း, ညစ်နွမ်းခြင်း, အမဲစက်များထွက်လာခြင်း, အဆီပြန်ခြင်း, အရေအကြောင်းများထွက်ခြင်း တို့အတွက် အသုံးပြုနိုင်ပါသည်. ","55000ks "
